sample_id,latent_file,video_file,video_rel_path,prompt
00409,00409.pt,00409.mp4,./00409.mp4,"Style: warm documentary, In a cramped apartment kitchen at twilight, a young man is leaning against a crowded counter while an older woman is standing near the sink with a dish towel gathered in both hands, the camera is observing them in an over-the-shoulder medium shot with a 35mm lens as cool window light is meeting a single warm ceiling fixture. He is turning a spoon between his fingers, the faint clink against a mug blending with the refrigerator hum, and he is speaking in a quiet, unsteady voice, ""You called him?"" She is pausing before folding the towel once, her eyes dropping to the sink as water is ticking in the pipes, then she is lifting her chin and replying in a soft, even voice, ""This morning."" Meanwhile he is shifting his weight and looking past her toward the dark window, while she is setting the towel down carefully and keeping one hand on the edge of the counter."
00434,00434.pt,00434.mp4,./00434.mp4,"Style: cinematic-realistic, In a worn apartment kitchen, a woman is leaning against a chipped counter while a man is standing near the sink, the camera is holding them in a medium two-shot with a 35mm lens under soft overhead light. She is rubbing her thumb along a cracked mug as the low hum of an old refrigerator is filling the room, then she is speaking in a low, careful voice, ""You came back."" He is shifting his weight and glancing toward the dark hallway, answering in a rough, quiet voice, ""Just briefly."" A pipe is ticking inside the wall while he is folding his arms and she is lifting her chin slightly, watching his face. Meanwhile, the faint rattle of a window frame is mixing with their pause as she is stepping half a pace closer, her shoulders squared, and he is lowering his gaze to the floor before looking up again."
00488,00488.pt,00488.mp4,./00488.mp4,"Style: nature documentary, A great blue heron is standing at the edge of a still marsh in mid-morning, its pale feathers are lifting slightly in a light breeze while reeds are swaying behind it. The camera is holding a patient medium close-up with a 400mm telephoto lens, the background is falling soft and flat as faint insects are buzzing over the water and small ripples are tapping the mud. The heron is lowering its neck in a slow curve, then is freezing, one foot is easing forward while a distant frog is calling from deeper in the grass. As the water surface trembles, the bird is striking with a quick jab, lifting its head with a small fish crosswise in its bill, droplets are falling back with quiet plinks while it is tilting the catch and swallowing."
00520,00520.pt,00520.mp4,./00520.mp4,"Style: cinematic-realistic, A silver wristwatch is resting on dark stone as soft side light is sliding across the brushed metal case and the curved crystal, revealing fine dust, tiny machining marks, and a clean leather grain on the strap. The camera is holding a tight product close-up with a 200mm telephoto lens, then slowly pulling back as the polished bezel is catching narrow reflections and the second hand is ticking in small precise steps. A faint room tone is lingering under the gentle tick, while a hand is entering carefully to tilt the watch a few degrees, letting the clasp glint and the stitched strap flex slightly. Meanwhile the stone surface is showing a matte texture in soft focus, and the pull-back is revealing a minimal tray and folded cloth behind it without distracting from the watch."
01424,01424.pt,01424.mp4,./01424.mp4,"Style: cinematic-realistic, Harsh midday sun is falling across a dense downtown intersection lined with stone facades and glass towers, their windows are throwing sharp reflections onto the crosswalk. A 35mm wide shot is holding at street level as office workers are weaving between delivery cyclists and a bus is easing past the curb, its brakes sighing under the steady hum of engines and distant horns. Traffic lights are changing while a row of cars is inching forward, heat is wavering above the asphalt, and small shadows are sliding under newspaper boxes and bike racks. Meanwhile a street vendor is adjusting a metal cart beneath a plain awning as footsteps are scattering over the pavement and a siren is passing somewhere deeper in the grid. The camera is keeping the building lines upright, emphasizing the vertical rhythm of the block while mirrored lobby doors are catching brief flashes of pedestrians and turning wheels."
01535,01535.pt,01535.mp4,./01535.mp4,"Style: cinematic-realistic, A broad mountain valley is filling with a fast-moving storm as a cold river is rushing over pale stones and splitting around small gravel bars. The camera is framing a wide shot with a 24mm lens from the riverbank, the view carrying a slight handheld sway while dark clouds are sliding over the ridgeline and broken sunlight is moving across wet grass in uneven patches. Wind is sweeping down the valley, pressing through pine trees as their branches are bowing and giving off a low, continuous hiss. Then light rain is beginning to pepper the river surface, the soft patter blending with the deeper roar of the current as runoff is streaming down the bank in thin threads. In the distance, mist is gathering around the lower slopes while the camera is slowly panning upstream, revealing snow-streaked peaks fading in and out behind the weather."
01679,01679.pt,01679.mp4,./01679.mp4,"Style: cinematic-realistic, Low storm clouds are dragging across a mountain valley as cold rain is sweeping over a fast river, the surface is buckling around dark stones and pale foam is streaming downstream. The camera is holding in a wide shot with a 24mm lens from a rocky overlook, capturing the river bend, steep pine slopes, and a distant ridge that is fading in and out behind sheets of rain. Wind is bending the treetops in uneven waves while loose branches are shivering and the river is roaring steadily below. As the cloud cover is thinning for a moment, a band of late light is sliding across the wet hillside, then the light is dimming again while thunder is rolling behind the peaks and mist is lifting from the water in slow bands."
01824,01824.pt,01824.mp4,./01824.mp4,"Style: warm documentary, A man in running clothes is jogging along a quiet riverside path on a sunny morning, his shoulders are rising and falling evenly while his shoes are landing with soft, quick thuds on the pavement. The camera is tracking beside him in a steady medium shot with a 35mm lens, then tilting up slightly as he is passing under tall trees and the pale sky is opening above him. His full stride is staying relaxed, his jaw is loose, and a light breeze is moving his shirt while distant bicycle wheels are whispering past on the far side of the path. He is slowing near a wooden bench, rolling one shoulder back, then bending to retie a lace as birds are calling from the waterline. Meanwhile, he is standing again, taking a deeper breath, and pushing back into motion with a small forward lean."
02286,02286.pt,02286.mp4,./02286.mp4,"Style: cinematic-realistic, A small tart is resting on a dark ceramic plate as candlelight is flickering across the glossy fruit glaze and the crisp ridges of the pastry shell. The camera is beginning in an intimate close-up on the surface, 100mm macro lens at f/3.2, where tiny beads of syrup are catching soft highlights, then is slowly pulling back to reveal scattered crumbs, a folded linen napkin, and a silver fork in soft focus. A faint crackle from the candles is mixing with the quiet clink of the fork as a hand is entering carefully, the fingertips are steadying the plate, and the fork is pressing through the crust with a gentle snap. Meanwhile, the custard is yielding smoothly, its surface holding a slight sheen under the warm side light, while the table grain is becoming clearer in the background."
03257,03257.pt,03257.mp4,./03257.mp4,"Style: sleek studio product, A silver wristwatch is resting on folded black fabric as cool evening light and a narrow neon rim light are tracing the polished case, the brushed metal links showing fine grain and the crystal catching a clean reflection. The camera is beginning in an extreme close-up on the crown with a 90mm macro lens at f/3.5, then is pushing in slightly as the faint tick of the movement is sitting under the soft rustle of fabric. Meanwhile the focus is shifting across the watch face, the hands are glinting, the minute markers are appearing crisp, and a fingertip is nudging the bracelet so it is settling with a quiet, precise clink. The shot is then easing into a slow pull-back, revealing the full watch centered on the textured cloth while the neon edge light is outlining the curved lugs and the smooth crystal."
