"category","text_prompt"
"Nature_Landscape","Style: cinematic-realistic, A storm-driven coastline is heaving under a dark sky, long waves are rising and crashing against black rock cliffs as white spray is lifting into the wind. Shot in an ultra-wide frame with a 16mm lens, the camera is making a slow steady push-in from above the shoreline while sheets of rain are slanting across the frame. The low roar of surf is building with each breaker, then sharp bursts of foam are striking the cliff face as pebbles are rattling back down the wet slope. Meanwhile, heavy clouds are rolling inland, a pale break in the horizon is shifting the light across the water, and distant thunder is rumbling as gulls are wheeling briefly before disappearing into the gusts."
"Human_Dialogue","Style: warm documentary, On a nearly empty commuter platform at first light, a young man is standing beside a woman near a metal bench, and the camera is framing them in a tight two-shot on an 85mm portrait lens as pale daylight is falling evenly across their faces. A distant train is rumbling softly while he is adjusting the strap on his bag and speaking in a careful, breathy voice, ""Did you call her?"" She is tucking loose hair behind one ear, then looking up at him and replying in a steady, quiet voice, ""Not yet,"" as the station speaker is crackling overhead. He is nodding once and opening a hand toward her, and she is drawing a slow breath and straightening her shoulders while their shoes are scraping lightly on the concrete."
"Urban_Architecture","Style: desaturated documentary, Light snow is drifting through a tram corridor lined with mid-rise brick buildings and glass storefronts as bundled pedestrians are crossing at a narrow intersection. The camera is holding a 35mm street-level wide shot, the rails are leading toward a distant overpass while a tram is approaching slowly, its metal wheels humming under the soft hiss of wet tires from passing cars. A woman is adjusting her scarf as she is stepping around a slushy curb, then a cyclist is coasting past parked vans while shop windows are reflecting traffic lights in muted bands across the pavement. Overhead wires are cutting a fine grid against the pale sky, and as the signal is changing, a cluster of commuters is moving forward together, their boots pressing a steady crunch into the snow while a bus is kneeling at the stop nearby with doors folding open."
"Human_Dialogue","Style: cinematic-realistic, Two coworkers are standing beside a parked car under a dim streetlight at night, the camera is holding a medium two-shot with a 50mm lens as distant traffic is humming and a loose sign is rattling softly nearby. The woman is leaning toward him with one hand braced on the roof, her other hand is making a small cutting gesture as she speaks in a low, urgent voice, ""We have minutes."" He is glancing down the empty sidewalk, then back at her, shoulders tightening inside a dark jacket while his keys are clicking faintly in his palm. He is answering in a hushed, steady voice, ""Then go."" As the engine of a passing bus is fading behind them, she is drawing a short breath and stepping back, and he is opening the driver-side door without taking his eyes off her."
"Nature_Landscape","Style: cinematic-realistic, A swollen mountain river is surging through a narrow rocky valley at blue twilight, with pine trees along the banks swaying in gusts and thin mist is sliding above the fast water under soft diffused light. The camera is set in a wide low-angle shot with a 24mm lens, emphasizing the scale of the river as white water is curling around boulders and is striking the rock walls in uneven bursts. The river is roaring steadily while loose branches are rattling in the wind, then a light rain is beginning to fall and fine droplets are stippling the dark surface near the shore. Meanwhile, clouds are thickening over the ridge and a brief opening in the sky is casting a muted silver band across the current as the mist is lifting and folding back into the trees."
"Human_Dialogue","Style: warm documentary, A woman and an older man are sitting on a rustic porch at twilight, angled toward each other in worn wooden chairs with a dim yard stretching behind them. The camera is framing them in a medium two-shot at eye level, 85mm lens with gentle background falloff, catching the small shifts in their faces and hands. Insects are buzzing under the porch light as the woman is smoothing her skirt over her knees and speaking in a soft, careful voice, ""You called me back."" The man, in a flannel shirt with his hands folded over one knee, is looking down briefly, then lifting his eyes and replying in a dry, quiet voice, ""I should have."" A screen door is rattling faintly behind them while she is giving a small nod, and he is leaning forward a little, the porch boards giving a low creak under the movement."
"Nature_Landscape","Style: cinematic-realistic, A rough ocean coastline is sitting under an overcast sky as heavy swells are crashing against dark cliffs and white spray is lifting into the wind. Shot in a wide frame with a 24mm wide-angle lens, the camera is holding a slow pan along the shoreline while sheets of mist are drifting across jagged rocks and tidewater is surging through narrow inlets. The deep boom of waves is echoing off the cliff face as pebbles are rattling back with each retreating wash. Meanwhile, low clouds are moving quickly overhead, and a brief break in the cover is sending a hard band of midday light across the water before the gray sky is closing again."
"Object_Product","Style: warm documentary, A ripe pear tart is sitting on a dark ceramic plate on a stone countertop at dawn as soft window light is tracing the flaky layers of the crust and the glazed fruit slices are holding small highlights. The camera is starting in a tight macro close-up on the sugared edge, 100mm macro lens at f/2.8, then slowly pulling back to reveal the full tart and a small fork beside the plate while the faint crackle of cooling pastry is mixing with a distant kettle hum. As the lens is drifting slightly to one side, the rough stone texture and scattered crumbs are coming into view, and a thin sheen of syrup is catching the light along the fruit. Then a hand is reaching in, pressing the fork gently into the crust, and the crisp surface is breaking with a soft snap while steam is rising subtly from the cut."
"Music_Performance","Style: modern pop performance, A young singer is standing on a small club stage in a silver jacket, one hand is holding a wireless microphone while the other is snapping lightly to the beat. The camera is beginning low on her tapping boots, then is tilting up to a medium shot as blue overhead light and a soft white key light are shaping her face. She is bouncing on her heels and singing in a bright, close voice, ""stay with me tonight,"" while a tight synth bass is pulsing under crisp handclaps and a clean drum groove. Meanwhile a keyboard player in the background is nodding in time, his fingers are moving across compact keys, and the crowd near the stage is lifting their shoulders and swaying as their cheers are slipping between the downbeats."
"Cinematic_Scene","Style: warm cinematic drama with Kodak Portra tones, In a medium close-up with a 50mm lens, a woman is standing in an afternoon kitchen near an open window, her hand is resting on a chipped counter as curtain fabric is shifting in the light breeze. A kettle is ticking softly on the stove while distant traffic is drifting up from the street. She is turning as a man is stepping into the doorway, his jacket still in his hands, and the floorboards are giving a small creak beneath him. He is speaking in a low, careful voice, ""I came back early."" She is drawing a slow breath, then is reaching for a folded letter beside a bowl of fruit while the kettle is beginning to whistle. In a restrained push-in, the camera is holding on their faces as he is taking the letter, paper rustling between them, and neither of them is sitting down."
"Cinematic_Scene","Style: cinematic-realistic with Fuji Velvia saturated tones, A woman is standing alone on a motel balcony at dusk, gripping the metal rail as a 24mm wide-angle lens is holding a medium-wide shot that is stretching the empty parking lot below. A neon vacancy glow is flickering across her face while an ice machine is humming nearby and a distant truck is passing on the highway. She is glancing down as a car is rolling in without headlights, then the camera is easing closer while she is slipping a room key into her coat pocket. A screen door is creaking behind her, and a man speaks in a low, careful voice, ""You should come inside."" She is not turning yet, only tightening her fingers on the rail as the car engine is idling below and the motel sign is buzzing in the thick evening air."
"Animal","Style: nature documentary, A snow leopard is stepping along a narrow ridge above a snowy valley, its thick tail is curling low for balance while pale backlight is outlining the fur along its shoulders. The camera is holding a patient medium-long shot on a 400mm telephoto lens, the distant slope is flattening softly behind it. Wind is moving across the rock face with a low hiss as small bits of crusted snow are breaking under its paws. The cat is pausing, ears are tilting forward, then it is lowering into a crouch while a few loose stones are clicking down the ledge. As it is inching ahead, its whiskers are catching the cold light, then it is springing across a gap and landing cleanly, claws scraping briefly on stone before it is continuing upward into the quiet ridge line."
"Music_Performance","Style: intimate folk performance, A singer-guitarist is standing on a small wooden stage under soft overhead light, her right hand is brushing a steady acoustic pattern while her left hand is shifting along the fretboard with small precise changes. The camera is holding a static medium shot on a 50mm lens, her shoulders are moving gently with the tempo as the guitar strings are ringing in a dry, natural room tone. She is leaning toward a simple microphone and speaking in a quiet, clear voice, ""stay here tonight,"" then her voice is lifting into a low, close melody while a faint floorboard creak and the light tap of her boot are blending with the rhythm. Meanwhile, a few listeners in the dark background are keeping still, and the soft air in the room is carrying the warm strum and close breath between phrases."
"Cinematic_Scene","Style: sci-fi cinematic, A maintenance worker is walking alone along a narrow observation deck at dusk inside a quiet orbital station, Earth is hanging blue through the glass while weak floor lights are reflecting off the metal rail. The camera is tracking beside him in a measured lateral dolly on a 35mm lens as his boots are thudding softly and ventilation is humming through the walls. He is slowing near a sealed hatch where a young woman is waiting in a plain gray jacket, her sleeve cuff is hiding a slight tremor as she is holding out a small data core. He is reaching for it, then pausing when a distant alarm is beginning to pulse, low and steady, and she speaks in a thin, controlled voice, ""Don't open it here."" Meanwhile the camera is easing closer into a medium close-up as he is slipping the core into his pocket and glancing toward the dark corridor beyond the hatch."
"Music_Performance","Style: stripped-down indie rock concert, A guitarist is standing at center stage with a worn electric guitar hanging low, his right hand is driving a steady downstroke pattern while his left hand is shifting up the neck, and his chin is lifting toward a slim microphone. The camera is staying in a medium close-up on a 50mm lens as warm side light is catching the edge of the guitar body and a soft overhead wash is keeping the small venue plain and clear. He is singing in a rough, focused voice, ""hold on now,"" as the amp is buzzing lightly beneath the chords and the snare is snapping from the drummer behind him. Meanwhile his knee is bouncing to the tempo, the strap is pulling taut across his shoulder, and the audience near the stage is moving in a compact sway while the chorus is building with louder strums and short shouted backing vocals."
"Object_Product","Style: cinematic-realistic, A silver wristwatch is resting on a dark stone surface at dusk as cool window light is sliding across the brushed metal links and the glass face is catching a faint reflection. The camera is beginning in an extreme close-up on the crown and knurled edge, 100mm macro lens at f/3.2, then slowly orbiting to reveal the dial texture, the fine hands, and tiny dust grains along the bezel while a quiet room tone and the soft ticking are blending with distant evening traffic outside. A thin line of condensation is forming on a nearby glass in the background, staying out of focus as the camera is pulling back slightly and the moonlit edge of the tabletop is coming into view, emphasizing the polished steel, crisp machining, and subtle wear marks on the clasp."
"Human_CloseUp","Style: warm documentary, In a medium close-up at eye level with a 50mm lens, a young woman is standing in a small bathroom under soft overhead light, the mirror edge and tiled wall falling gently out of focus behind her in a pastel-soft afternoon grade. She is leaning one hand on the sink while the other is pinching a loose earring back, and the quiet tap of metal against porcelain is mixing with the steady bathroom fan. As she is fastening it, her chin is lifting a little, then her gaze is settling on her own reflection and her mouth is softening into a slight, uneven smile. A floorboard is creaking somewhere beyond the door while she is brushing her fingertips along her neck, checking the clasp again. Meanwhile, a faint drip from the faucet is punctuating the room, and a strand of hair is slipping forward as she is tucking it behind her ear."
"Human_Dialogue","Style: warm documentary, Two people are standing close together on a quiet apartment balcony in soft golden hour light, the camera is framing them in a tight medium shot with a 100mm lens, keeping the background gently compressed as distant traffic is humming below. The woman is resting one hand on the rail and turning slightly toward him, a small crease forming between her brows as she is speaking in a low, steady voice, ""You called late."" He is rubbing his thumb against his cup and glancing down for a beat while a faint spoon clink is carrying from inside, then he is lifting his eyes and answering in a careful, tired tone, ""I know."" She is exhaling through her nose and giving a short nod, her shoulders easing as he is shifting his weight closer without touching her."
"Animal","Style: nature documentary, An osprey is circling above a reed-lined river in warm late-afternoon light, its white head and dark eye stripe catching against the muted water. The camera is holding a patient medium telephoto view on a 400mm lens as wingbeats are pulsing softly under the distant rustle of reeds and low insect chatter. As the bird is narrowing its circles, its talons are lowering, then it is folding its wings and dropping fast, the rush of air blending with a brief splash as it is striking the surface. Meanwhile ripples are spreading through the golden reflections while the osprey is heaving upward with a small fish twisting in its grip, droplets are falling from its feathers, and it is banking toward a dead branch on the far bank."
"Music_Performance","Style: cinematic-realistic, A pianist is sitting alone at an upright piano in a modest recital room, his fingers are pressing a slow classical passage while his wrists are rising and settling with controlled weight. The camera is holding a static close-up that eases into a medium framing on a 50mm lens, the felted hammer sound and gentle pedal resonance are filling the quiet space as he is drawing out each phrase. Warm side light is falling across the keys and his face, and his jaw is loosening slightly while he is breathing with the tempo. Then his left hand is laying down a soft repeating bass figure as the right hand is climbing into a clear melody, the notes are lingering with light room reverb, and the bench is giving a faint wood creak beneath his measured sway."
